"region","hustyp","ägarkategori","år","Antal"
"Håbo","småhus","svenska aktiebolag","2017",84
"Håbo","småhus","svenska aktiebolag","2018",125
"Håbo","småhus","svenska aktiebolag","2019",85
"Håbo","småhus","svenska aktiebolag","2020",83
"Håbo","småhus","svenska aktiebolag","2021",89
"Håbo","småhus","svenska aktiebolag","2022",95
"Håbo","småhus","svenska aktiebolag","2023",87
"Håbo","småhus","svenska aktiebolag","2024",90
"Håbo","småhus","övriga ägare","2013",49
"Håbo","småhus","övriga ägare","2014",46
"Håbo","småhus","övriga ägare","2015",44
"Håbo","småhus","övriga ägare","2016",10
"Håbo","småhus","övriga ägare","2017",14
"Håbo","småhus","övriga ägare","2018",9
"Håbo","småhus","övriga ägare","2019",8
"Håbo","småhus","övriga ägare","2020",8
"Håbo","småhus","övriga ägare","2021",5
"Håbo","småhus","övriga ägare","2022",5
"Håbo","småhus","övriga ägare","2023",5
"Håbo","småhus","övriga ägare","2024",5
"Håbo","småhus","uppgift saknas","2013",0
"Håbo","småhus","uppgift saknas","2014",0
"Håbo","småhus","uppgift saknas","2015",0
"Håbo","småhus","uppgift saknas","2016",6
"Håbo","småhus","uppgift saknas","2017",5
"Håbo","småhus","uppgift saknas","2018",5
"Håbo","småhus","uppgift saknas","2019",4
"Håbo","småhus","uppgift saknas","2020",4
"Håbo","småhus","uppgift saknas","2021",4
"Håbo","småhus","uppgift saknas","2022",4
"Håbo","småhus","uppgift saknas","2023",3
"Håbo","småhus","uppgift saknas","2024",4
"Håbo","flerbostadshus","stat, kommun, region","2013",0
"Håbo","flerbostadshus","stat, kommun, region","2014",6
"Håbo","flerbostadshus","stat, kommun, region","2015",6
"Håbo","flerbostadshus","stat, kommun, region","2016",6
"Håbo","flerbostadshus","stat, kommun, region","2017",6
"Håbo","flerbostadshus","stat, kommun, region","2018",6
"Håbo","flerbostadshus","stat, kommun, region","2019",6
"Håbo","flerbostadshus","stat, kommun, region","2020",6
"Håbo","flerbostadshus","stat, kommun, region","2021",6
"Håbo","flerbostadshus","stat, kommun, region","2022",6
"Håbo","flerbostadshus","stat, kommun, region","2023",6
"Håbo","flerbostadshus","stat, kommun, region","2024",6
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2013",1194
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2014",1174
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2015",1174
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2016",1223
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2017",1223
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2018",1223
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2019",1342
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2020",1342
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2021",1342
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2022",1377
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2023",1377
"Håbo","flerbostadshus","allmännyttiga bostadsföretag","2024",1377
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2013",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2014",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2015",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2016",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2017",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2018",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2019",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2020",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2021",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2022",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2023",0
"Håbo","flerbostadshus","kooperativa hyresrättsföreningar","2024",0
"Håbo","flerbostadshus","bostadsrättsföreningar","2013",598
"Håbo","flerbostadshus","bostadsrättsföreningar","2014",618
"Håbo","flerbostadshus","bostadsrättsföreningar","2015",618
"Håbo","flerbostadshus","bostadsrättsföreningar","2016",629
"Håbo","flerbostadshus","bostadsrättsföreningar","2017",658
"Håbo","flerbostadshus","bostadsrättsföreningar","2018",710
"Håbo","flerbostadshus","bostadsrättsföreningar","2019",762
"Håbo","flerbostadshus","bostadsrättsföreningar","2020",780
"Håbo","flerbostadshus","bostadsrättsföreningar","2021",948
"Håbo","flerbostadshus","bostadsrättsföreningar","2022",948
"Håbo","flerbostadshus","bostadsrättsföreningar","2023",948
"Håbo","flerbostadshus","bostadsrättsföreningar","2024",1019
"Håbo","flerbostadshus","fysiska personer","2013",62
"Håbo","flerbostadshus","fysiska personer","2014",55
"Håbo","flerbostadshus","fysiska personer","2015",55
"Håbo","flerbostadshus","fysiska personer","2016",55
"Håbo","flerbostadshus","fysiska personer","2017",55
"Håbo","flerbostadshus","fysiska personer","2018",55
"Håbo","flerbostadshus","fysiska personer","2019",55
"Håbo","flerbostadshus","fysiska personer","2020",55
"Håbo","flerbostadshus","fysiska personer","2021",55
"Håbo","flerbostadshus","fysiska personer","2022",55
"Håbo","flerbostadshus","fysiska personer","2023",55
"Håbo","flerbostadshus","fysiska personer","2024",55
"Håbo","flerbostadshus","svenska aktiebolag","2013",145
"Håbo","flerbostadshus","svenska aktiebolag","2014",153
"Håbo","flerbostadshus","svenska aktiebolag","2015",153
"Håbo","flerbostadshus","svenska aktiebolag","2016",204
"Håbo","flerbostadshus","svenska aktiebolag","2017",175
"Håbo","flerbostadshus","svenska aktiebolag","2018",186
"Håbo","flerbostadshus","svenska aktiebolag","2019",262
"Håbo","flerbostadshus","svenska aktiebolag","2020",262
"Håbo","flerbostadshus","svenska aktiebolag","2021",262
"Håbo","flerbostadshus","svenska aktiebolag","2022",414
"Håbo","flerbostadshus","svenska aktiebolag","2023",600
"Håbo","flerbostadshus","svenska aktiebolag","2024",661
"Håbo","flerbostadshus","övriga ägare","2013",114
"Håbo","flerbostadshus","övriga ägare","2014",114
"Håbo","flerbostadshus","övriga ägare","2015",114
"Håbo","flerbostadshus","övriga ägare","2016",114
"Håbo","flerbostadshus","övriga ägare","2017",114
"Håbo","flerbostadshus","övriga ägare","2018",114
"Håbo","flerbostadshus","övriga ägare","2019",114
"Håbo","flerbostadshus","övriga ägare","2020",114
"Håbo","flerbostadshus","övriga ägare","2021",114
"Håbo","flerbostadshus","övriga ägare","2022",114
"Håbo","flerbostadshus","övriga ägare","2023",114
"Håbo","flerbostadshus","övriga ägare","2024",114
"Håbo","flerbostadshus","uppgift saknas","2013",0
"Håbo","flerbostadshus","uppgift saknas","2014",0
"Håbo","flerbostadshus","uppgift saknas","2015",0
"Håbo","flerbostadshus","uppgift saknas","2016",0
"Håbo","flerbostadshus","uppgift saknas","2017",0
"Håbo","flerbostadshus","uppgift saknas","2018",0
"Håbo","flerbostadshus","uppgift saknas","2019",0
"Håbo","flerbostadshus","uppgift saknas","2020",0
"Håbo","flerbostadshus","uppgift saknas","2021",0
"Håbo","flerbostadshus","uppgift saknas","2022",0
"Håbo","flerbostadshus","uppgift saknas","2023",0
"Håbo","flerbostadshus","uppgift saknas","2024",0
"Håbo","övriga hus","stat, kommun, region","2013",0
"Håbo","övriga hus","stat, kommun, region","2014",0
"Håbo","övriga hus","stat, kommun, region","2015",0
"Håbo","övriga hus","stat, kommun, region","2016",0
"Håbo","övriga hus","stat, kommun, region","2017",0
"Håbo","övriga hus","stat, kommun, region","2018",7
"Håbo","övriga hus","stat, kommun, region","2019",7
"Håbo","övriga hus","stat, kommun, region","2020",7
"Håbo","övriga hus","stat, kommun, region","2021",7
"Håbo","övriga hus","stat, kommun, region","2022",7
"Håbo","övriga hus","stat, kommun, region","2023",7
"Håbo","övriga hus","stat, kommun, region","2024",7
"Håbo","övriga hus","allmännyttiga bostadsföretag","2013",13
"Håbo","övriga hus","allmännyttiga bostadsföretag","2014",13
"Håbo","övriga hus","allmännyttiga bostadsföretag","2015",13
"Håbo","övriga hus","allmännyttiga bostadsföretag","2016",13
"Håbo","övriga hus","allmännyttiga bostadsföretag","2017",31
"Håbo","övriga hus","allmännyttiga bostadsföretag","2018",31
"Håbo","övriga hus","allmännyttiga bostadsföretag","2019",31
"Håbo","övriga hus","allmännyttiga bostadsföretag","2020",31
"Håbo","övriga hus","allmännyttiga bostadsföretag","2021",31
"Håbo","övriga hus","allmännyttiga bostadsföretag","2022",18
"Håbo","övriga hus","allmännyttiga bostadsföretag","2023",18
"Håbo","övriga hus","allmännyttiga bostadsföretag","2024",18
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2013",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2014",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2015",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2016",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2017",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2018",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2019",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2020",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2021",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2022",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2023",0
"Håbo","övriga hus","kooperativa hyresrättsföreningar","2024",0
"Håbo","övriga hus","bostadsrättsföreningar","2013",18
"Håbo","övriga hus","bostadsrättsföreningar","2014",18
"Håbo","övriga hus","bostadsrättsföreningar","2015",18
"Håbo","övriga hus","bostadsrättsföreningar","2016",18
"Håbo","övriga hus","bostadsrättsföreningar","2017",0
"Håbo","övriga hus","bostadsrättsföreningar","2018",0
"Håbo","övriga hus","bostadsrättsföreningar","2019",0
"Håbo","övriga hus","bostadsrättsföreningar","2020",0
"Håbo","övriga hus","bostadsrättsföreningar","2021",0
"Håbo","övriga hus","bostadsrättsföreningar","2022",0
"Håbo","övriga hus","bostadsrättsföreningar","2023",0
"Håbo","övriga hus","bostadsrättsföreningar","2024",0
"Håbo","övriga hus","fysiska personer","2013",10
"Håbo","övriga hus","fysiska personer","2014",10
"Håbo","övriga hus","fysiska personer","2015",14
"Håbo","övriga hus","fysiska personer","2016",8
"Håbo","övriga hus","fysiska personer","2017",7
"Håbo","övriga hus","fysiska personer","2018",6
"Håbo","övriga hus","fysiska personer","2019",6
"Håbo","övriga hus","fysiska personer","2020",6
"Håbo","övriga hus","fysiska personer","2021",6
"Håbo","övriga hus","fysiska personer","2022",8
"Håbo","övriga hus","fysiska personer","2023",7
"Håbo","övriga hus","fysiska personer","2024",8
"Håbo","övriga hus","svenska aktiebolag","2013",9
"Håbo","övriga hus","svenska aktiebolag","2014",10
"Håbo","övriga hus","svenska aktiebolag","2015",10
"Håbo","övriga hus","svenska aktiebolag","2016",16
"Håbo","övriga hus","svenska aktiebolag","2017",16
"Håbo","övriga hus","svenska aktiebolag","2018",16
"Håbo","övriga hus","svenska aktiebolag","2019",20
"Håbo","övriga hus","svenska aktiebolag","2020",20
"Håbo","övriga hus","svenska aktiebolag","2021",14
"Håbo","övriga hus","svenska aktiebolag","2022",14
"Håbo","övriga hus","svenska aktiebolag","2023",14
"Håbo","övriga hus","svenska aktiebolag","2024",14
"Håbo","övriga hus","övriga ägare","2013",12
"Håbo","övriga hus","övriga ägare","2014",12
"Håbo","övriga hus","övriga ägare","2015",12
"Håbo","övriga hus","övriga ägare","2016",12
"Håbo","övriga hus","övriga ägare","2017",16
"Håbo","övriga hus","övriga ägare","2018",9
"Håbo","övriga hus","övriga ägare","2019",9
"Håbo","övriga hus","övriga ägare","2020",9
"Håbo","övriga hus","övriga ägare","2021",9
"Håbo","övriga hus","övriga ägare","2022",9
"Håbo","övriga hus","övriga ägare","2023",9
"Håbo","övriga hus","övriga ägare","2024",9
"Håbo","övriga hus","uppgift saknas","2013",0
"Håbo","övriga hus","uppgift saknas","2014",0
"Håbo","övriga hus","uppgift saknas","2015",0
"Håbo","övriga hus","uppgift saknas","2016",0
"Håbo","övriga hus","uppgift saknas","2017",0
"Håbo","övriga hus","uppgift saknas","2018",0
"Håbo","övriga hus","uppgift saknas","2019",0
"Håbo","övriga hus","uppgift saknas","2020",0
"Håbo","övriga hus","uppgift saknas","2021",0
"Håbo","övriga hus","uppgift saknas","2022",0
"Håbo","övriga hus","uppgift saknas","2023",0
"Håbo","övriga hus","uppgift saknas","2024",0
"Håbo","specialbostäder","stat, kommun, region","2013",40
"Håbo","specialbostäder","stat, kommun, region","2014",40
"Håbo","specialbostäder","stat, kommun, region","2015",40
"Håbo","specialbostäder","stat, kommun, region","2016",40
"Håbo","specialbostäder","stat, kommun, region","2017",40
"Håbo","specialbostäder","stat, kommun, region","2018",40
"Håbo","specialbostäder","stat, kommun, region","2019",40
"Håbo","specialbostäder","stat, kommun, region","2020",40
"Håbo","specialbostäder","stat, kommun, region","2021",100
"Håbo","specialbostäder","stat, kommun, region","2022",100
"Håbo","specialbostäder","stat, kommun, region","2023",40
"Håbo","specialbostäder","stat, kommun, region","2024",40
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2013",8
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2014",8
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2015",8
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2016",8
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2017",14
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2018",14
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2019",95
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2020",95
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2021",95
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2022",95
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2023",155
"Håbo","specialbostäder","allmännyttiga bostadsföretag","2024",155
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2013",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2014",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2015",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2016",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2017",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2018",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2019",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2020",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2021",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2022",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2023",0
"Håbo","specialbostäder","kooperativa hyresrättsföreningar","2024",0
"Håbo","specialbostäder","bostadsrättsföreningar","2013",6
"Håbo","specialbostäder","bostadsrättsföreningar","2014",6
"Håbo","specialbostäder","bostadsrättsföreningar","2015",6
"Håbo","specialbostäder","bostadsrättsföreningar","2016",6
"Håbo","specialbostäder","bostadsrättsföreningar","2017",0
"Håbo","specialbostäder","bostadsrättsföreningar","2018",0
"Håbo","specialbostäder","bostadsrättsföreningar","2019",0
"Håbo","specialbostäder","bostadsrättsföreningar","2020",0
"Håbo","specialbostäder","bostadsrättsföreningar","2021",0
"Håbo","specialbostäder","bostadsrättsföreningar","2022",0
"Håbo","specialbostäder","bostadsrättsföreningar","2023",0
"Håbo","specialbostäder","bostadsrättsföreningar","2024",0
"Håbo","specialbostäder","fysiska personer","2013",1
"Håbo","specialbostäder","fysiska personer","2014",1
"Håbo","specialbostäder","fysiska personer","2015",1
"Håbo","specialbostäder","fysiska personer","2016",1
"Håbo","specialbostäder","fysiska personer","2017",1
"Håbo","specialbostäder","fysiska personer","2018",1
"Håbo","specialbostäder","fysiska personer","2019",1
"Håbo","specialbostäder","fysiska personer","2020",1
"Håbo","specialbostäder","fysiska personer","2021",1
"Håbo","specialbostäder","fysiska personer","2022",1
"Håbo","specialbostäder","fysiska personer","2023",1
"Håbo","specialbostäder","fysiska personer","2024",1
"Håbo","specialbostäder","svenska aktiebolag","2013",1
"Håbo","specialbostäder","svenska aktiebolag","2014",1
"Håbo","specialbostäder","svenska aktiebolag","2015",1
"Håbo","specialbostäder","svenska aktiebolag","2016",1
"Håbo","specialbostäder","svenska aktiebolag","2017",1
"Håbo","specialbostäder","svenska aktiebolag","2018",1
"Håbo","specialbostäder","svenska aktiebolag","2019",1
"Håbo","specialbostäder","svenska aktiebolag","2020",1
"Håbo","specialbostäder","svenska aktiebolag","2021",1
"Håbo","specialbostäder","svenska aktiebolag","2022",1
"Håbo","specialbostäder","svenska aktiebolag","2023",1
"Håbo","specialbostäder","svenska aktiebolag","2024",1
"Håbo","specialbostäder","övriga ägare","2013",0
"Håbo","specialbostäder","övriga ägare","2014",0
"Håbo","specialbostäder","övriga ägare","2015",0
"Håbo","specialbostäder","övriga ägare","2016",0
"Håbo","specialbostäder","övriga ägare","2017",0
"Håbo","specialbostäder","övriga ägare","2018",0
"Håbo","specialbostäder","övriga ägare","2019",0
"Håbo","specialbostäder","övriga ägare","2020",0
"Håbo","specialbostäder","övriga ägare","2021",0
"Håbo","specialbostäder","övriga ägare","2022",0
"Håbo","specialbostäder","övriga ägare","2023",0
"Håbo","specialbostäder","övriga ägare","2024",0
"Håbo","specialbostäder","uppgift saknas","2013",0
"Håbo","specialbostäder","uppgift saknas","2014",0
"Håbo","specialbostäder","uppgift saknas","2015",0
"Håbo","specialbostäder","uppgift saknas","2016",0
"Håbo","specialbostäder","uppgift saknas","2017",0
"Håbo","specialbostäder","uppgift saknas","2018",0
"Håbo","specialbostäder","uppgift saknas","2019",0
"Håbo","specialbostäder","uppgift saknas","2020",0
"Håbo","specialbostäder","uppgift saknas","2021",0
"Håbo","specialbostäder","uppgift saknas","2022",0
"Håbo","specialbostäder","uppgift saknas","2023",0
"Håbo","specialbostäder","uppgift saknas","2024",0
"Älvkarleby","småhus","stat, kommun, region","2013",3
"Älvkarleby","småhus","stat, kommun, region","2014",1
"Älvkarleby","småhus","stat, kommun, region","2015",1
"Älvkarleby","småhus","stat, kommun, region","2016",0
"Älvkarleby","småhus","stat, kommun, region","2017",0
"Älvkarleby","småhus","stat, kommun, region","2018",0
"Älvkarleby","småhus","stat, kommun, region","2019",0
"Älvkarleby","småhus","stat, kommun, region","2020",0
"Älvkarleby","småhus","stat, kommun, region","2021",0
"Älvkarleby","småhus","stat, kommun, region","2022",1
"Älvkarleby","småhus","stat, kommun, region","2023",0
"Älvkarleby","småhus","stat, kommun, region","2024",0
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2013",58
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2014",58
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2015",60
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2016",60
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2017",60
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2018",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2019",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2020",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2021",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2022",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2023",59
"Älvkarleby","småhus","allmännyttiga bostadsföretag","2024",59
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2013",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2014",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2015",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2016",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2017",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2018",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2019",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2020",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2021",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2022",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2023",0
"Älvkarleby","småhus","kooperativa hyresrättsföreningar","2024",0
"Älvkarleby","småhus","bostadsrättsföreningar","2013",130
"Älvkarleby","småhus","bostadsrättsföreningar","2014",130
"Älvkarleby","småhus","bostadsrättsföreningar","2015",130
"Älvkarleby","småhus","bostadsrättsföreningar","2016",130
"Älvkarleby","småhus","bostadsrättsföreningar","2017",130
"Älvkarleby","småhus","bostadsrättsföreningar","2018",130
"Älvkarleby","småhus","bostadsrättsföreningar","2019",130
"Älvkarleby","småhus","bostadsrättsföreningar","2020",130
"Älvkarleby","småhus","bostadsrättsföreningar","2021",130
"Älvkarleby","småhus","bostadsrättsföreningar","2022",130
"Älvkarleby","småhus","bostadsrättsföreningar","2023",146
"Älvkarleby","småhus","bostadsrättsföreningar","2024",146
"Älvkarleby","småhus","fysiska personer","2013",2688
"Älvkarleby","småhus","fysiska personer","2014",2684
"Älvkarleby","småhus","fysiska personer","2015",2696
"Älvkarleby","småhus","fysiska personer","2016",2727
"Älvkarleby","småhus","fysiska personer","2017",2744
"Älvkarleby","småhus","fysiska personer","2018",2768
"Älvkarleby","småhus","fysiska personer","2019",2789
"Älvkarleby","småhus","fysiska personer","2020",2793
"Älvkarleby","småhus","fysiska personer","2021",2807
"Älvkarleby","småhus","fysiska personer","2022",2819
"Älvkarleby","småhus","fysiska personer","2023",2834
"Älvkarleby","småhus","fysiska personer","2024",2828
"Älvkarleby","småhus","svenska aktiebolag","2013",51
"Älvkarleby","småhus","svenska aktiebolag","2014",51
"Älvkarleby","småhus","svenska aktiebolag","2015",53
"Älvkarleby","småhus","svenska aktiebolag","2016",53
"Älvkarleby","småhus","svenska aktiebolag","2017",55
"Älvkarleby","småhus","svenska aktiebolag","2018",55
"Älvkarleby","småhus","svenska aktiebolag","2019",53
"Älvkarleby","småhus","svenska aktiebolag","2020",54
"Älvkarleby","småhus","svenska aktiebolag","2021",56
"Älvkarleby","småhus","svenska aktiebolag","2022",62
"Älvkarleby","småhus","svenska aktiebolag","2023",64
"Älvkarleby","småhus","svenska aktiebolag","2024",68
"Älvkarleby","småhus","övriga ägare","2013",24
"Älvkarleby","småhus","övriga ägare","2014",22
"Älvkarleby","småhus","övriga ägare","2015",23
"Älvkarleby","småhus","övriga ägare","2016",32
"Älvkarleby","småhus","övriga ägare","2017",33
"Älvkarleby","småhus","övriga ägare","2018",6
"Älvkarleby","småhus","övriga ägare","2019",5
"Älvkarleby","småhus","övriga ägare","2020",11
"Älvkarleby","småhus","övriga ägare","2021",12
"Älvkarleby","småhus","övriga ägare","2022",13
"Älvkarleby","småhus","övriga ägare","2023",13
"Älvkarleby","småhus","övriga ägare","2024",12
"Älvkarleby","småhus","uppgift saknas","2013",1
"Älvkarleby","småhus","uppgift saknas","2014",1
"Älvkarleby","småhus","uppgift saknas","2015",1
"Älvkarleby","småhus","uppgift saknas","2016",2
"Älvkarleby","småhus","uppgift saknas","2017",2
"Älvkarleby","småhus","uppgift saknas","2018",2
"Älvkarleby","småhus","uppgift saknas","2019",2
"Älvkarleby","småhus","uppgift saknas","2020",2
"Älvkarleby","småhus","uppgift saknas","2021",2
"Älvkarleby","småhus","uppgift saknas","2022",2
"Älvkarleby","småhus","uppgift saknas","2023",2
"Älvkarleby","småhus","uppgift saknas","2024",2
"Älvkarleby","flerbostadshus","stat, kommun, region","2013",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2014",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2015",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2016",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2017",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2018",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2019",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2020",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2021",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2022",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2023",0
"Älvkarleby","flerbostadshus","stat, kommun, region","2024",0
"Älvkarleby","flerbostadshus","allmännyttiga bostadsföretag","2013",871
"Älvkarleby","flerbostadshus","allmännyttiga bostadsföretag","2014",871
"Älvkarleby","flerbostadshus","allmännyttiga bostadsföretag","2015",871
"Älvkarleby","flerbostadshus","allmännyttiga bostadsföretag","2016",876
